Clave,Descripcion,PrecioPublico
10083,5526-1 RESP. SUAVE LIJA MICROFINA  1/2 HOJA PIEZA,90.64
10084,5586-1 RESPALDO MANUAL STIKIT DURO P/LIJ  AGUA 152MM PIEZA,109.14
10085,2308-1/2 CINTA MASKING TAPE 1/2 PULG. 3M PIEZA,45.78
10086,2308-1/4 CINTA MASKING TAPE 1/4 PULG. 3M PIEZA,34.21
10087,2308-1/8 CINTA MASKING TAPE 1/8 PULG. 3M PIEZA,17.61
10088,2308-11/2 CINTA MASKING TAPE 1 1/2 PULG. 3M PIEZA,118.74
10089,2308-2 CINTA MASKING TAPE 2 PULG. 3M PIEZA,158.72
10090,2308-3/4 CINTA MASKING TAPE 3/4 PULG. 3M PIEZA,70.18
10091,"2308-5/8 6544 MASKING TAPE .015 X 45 M 5/8"" 2308 PIEZA",30.98
10092,23081/4-144 CINTA MASKING TAPE 1/4 PULG. 3M P144,"4,926.24"
10104,7448-1 ALMOHADILLA MANUAL 152 X 229 MM AZUL PIEZA,41.6
10105,7448-60 ALMOHADILLA MANUAL 152 X 229 MM AZUL    CJA60 PIEZA,"2,495.86"
10106,2071-1 FILTRO PARA PARTÍCULAS P95 PIEZA,84.52
10107,501-1 RETENEDOR DE PREFILTRO (1PZA)P/ MASCARILLA 3M PIEZA,69.79
10108,5N11-1 FILTRO PARA PARTICULAS P PIEZA,58.58
10109,5P71-1 PREFILTRO (1PZA)PARA MASCARILLA 3M PIEZA,72.03
10110,6001-1 CARTUCHO PARA VAPORES ORGÁNICOS PIEZA PIEZA,211.6
10113,4229-1/2 SCOTCHMOUNT 1/2  DE 12.7 MM X 66 MT. COLOR GR 66 MTS,"1,312.99"
10114,4229-3/4 SCOTCHMOUNT  DE 18 MM X 66 MT. COLOR GRIS PIEZA,"2,074.58"
10115,4229-SM-1 SCOTCHMOUNT  DE 12.7 MM X 1 MT. COLOR GRIS METRO,22.1
10116,6380-1 CINTA DOBLE CONTACTO 3M 1/2 X 18.30 MTS. PIEZA,811.49
10117,6381-1 CINTA NEGRA CON LINER ROJO 22MM X 18.3 MT PIEZA,"1,254.09"
10118,6384-1 CINTA DOBLE CONTACTO 3M 1/2 X 4.5 MTS. PIEZA,338.81
10119,3MS600-1 CINTA SAFETY WALK NEGRO 1PULG X18.29MT PIEZA,505.42
10122,98332-SM-1 PN BARRICADAROJO/BLANCO 0.0508 X 45.72 MT METRO,59.81
10124,98332KIT-1 KIT BARRICADAROJO/BLANCO 3PZ (46CM C/PZA) PIEZA,80.37
10126,6303-1 FINE LINE PARA FILETEAR 1/2 X 55 MTS. 3M PIEZA,278.29
10127,6306-1 FINE LINE PARA FILETEAR 1/16 X 55 MTS. 3M PIEZA,383.02
10129,0950-1 DISCO HOOKIT GOLDO FILM P1500  AMARILLO PIEZA,22.14
10130,0968-1 DISCOS HOOKIT GOLD FILM P1200 3M.(AMARILLO) PIEZA,22.14
10131,0969-1 DISCOS HOOKIT GOLD FILM P1000 3M.(AMARILLO) PIEZA,22.14
10132,0970-1 DISCOS HOOKIT GOLD FILM P800 3M (AMARILLO) PIEZA,22.14
10133,0971-1 DISCOS HOOKIT GOLD FILM P600 3M PIEZA,22.14
10134,"0972-1 DISCO HOOKIT(MR) GOLD 6"". G-P500 PIEZA",16.08
10135,0973-1 DISCOS HOOKIT GOLD FILM P400 3M (AMARILLO) PIEZA,16.08
10136,0975-1 DISCOS HOOKIT GOLD FILM P320 3M (AMARILLO) PIEZA,16.08
10137,"0977-1 DISCO HOOKIT(MR) GOLD 6"". G-P240 PIEZA",16.08
10138,0978-1 DISCOS HOOKIT GOLD FILM P220 3M (AMARILLO). PIEZA,16.08
10139,0979-1 DISCOS HOOKIT GOLD FILM P180 3M (AMARILLO). PIEZA,16.08
10140,0979-100 DISCOS HOOKIT GOLD FILM P180 3M (AMARILLO). P100,"1,608.00"
