Clave,Descripcion,PrecioPublico
14454,"30769-1 DISCO HOOKIT 6"" G1000 DF 7 PERF PIEZA",33.9
14456,31371-1 DISCO CUBITRON II G-80 DE 6PULG PIEZA,28.04
14457,33377-1 DISCO ROLOC CUBITRON II 36PULG PIEZA PIEZA,48.57
14458,33377-15 DISCO ROLOC CUBITRON 36 PULG CAJA 15 PZA P15,728.55
14459,33380-1 DISCO ROLOC CUBITRON II 80PULG PIEZA PIEZA,48.57
14460,33380-15 DISCO ROLOC CUBITRON II 80PULG CAJA 15PZAS P15,728.55
14463,"5529-25 DISCO ROLOC SCOTH BRITE 3"". GRIS A SFINO P25","2,666.25"
14464,"5530-25 DISCO ROLOC SCOTH BRITE 3"". AZUL  MUYFINO(PAQ P25","2,048.75"
14465,"5531-25 DISCO ROLOC SCOTH BRITE 3"". MARRON (PAQUETE) P25","2,048.75"
14466,"5532-25 DISCO ROLOC SCOTH BRITE 3"" CAFE (PAQUETE) P25",81.95
14482,98-1/2P ENVASES DE PINTURA .500,5.93
14483,98-1/2R ENVASE P/SOLVENTE 0.500 LT  PIEZA,1.97
14484,98-1/4P ENVASES DE PINTURA .250,5.24
14485,98-1/4R ENVASE P/SOLVENTE 0.250 LT LISO  PIEZA,2.17
14486,98-1/8P ENVASES DE PINTURA .125,3.93
14487,98-1/8R ENVASE PARA SOLVENTE DE 1/8 CON TAPA PIEZA,3.07
14489,98-19P CUBETA VACIA DE PLASTICO PIEZA,98
14490,98-1P ENVASES DE PINTURA LITRO,8.49
14491,98-1R ENVASES P/REDUCTOR 1 LT ALTO PIEZA,4.71
14492,98-2P ENVASES DE PINTURA 2 LITRO,12.95
14493,98-4P ENVASES DE PINTURA PIEZA,63.22
14495,BOTEPRE1 BOTE DE TRIPLE PRESION 1 LT PIEZA,27.45
14496,BOTEPRE4 BOTE DE  TRIPLE PRESION 4 LTS PIEZA,54.02
14497,BOTEPRE500 BOTE TRIPLE PRESION 500ML PIEZA,21.86
14698,CPC-SM-30019A AUE300 ESMALT POLIURET REGULAR CUB19,"10,468.00"
14699,CPC-SM-30019B AUE300 ESMALT POLIURET ORGANICO CUB19,"11,622.23"
14700,CPC-SM-3001A AUE300 ESMALT POLIURET REGULAR LITRO,623.52
14701,CPC-SM-3001B AUE300 ESMALT POLIURET ORGANICO LITRO,690.28
14702,CPC-SM-3004A AUE300 ESMALT POLIURET REGULAR 4LTO,"2,398.19"
14703,CPC-SM-3004B AUE300 ESMALT POLIURET ORGANICO 4LTO,"2,659.92"
14720,CPC-SM-36019A AUE360 ESMALT POLIURET REGULAR CUB19,"11,483.97"
14721,CPC-SM-36019B AUE360 ESMALT POLIURET ORGANICO CUB19,"12,706.42"
14722,CPC-SM-36019C AUE360 ESMALT POLIURET ROJOS MARROMES CUB19,"13,786.30"
14723,CPC-SM-3601A AUE360 ESMALT POLIURET REGULAR LITRO,682.29
14724,CPC-SM-3601B AUE360 ESMALT POLIURET ORGANICO LITRO,753
14725,CPC-SM-3604A AUE360 ESMALT POLIURET REGULAR 4LTO,"2,628.56"
14726,CPC-SM-3604B AUE360 ESMALT POLIURET ORGANICO 4LTO,"2,905.76"
14727,CPC-SM-3604C AUE360 ESMALT POLIURET ROJOS MARRONES 4LTO,"3,150.63"
14767,90SM-18 NEGRO CHASIS CUB18,"2,756.92"
14768,90SM-200 NEGRO CHASIS 200 LT,"30,326.15"
14769,90SM-4 *K NEGRO CHASIS 4LTO,647.69
14771,90SM-SM-125 *K NEGRO CHASIS .125LT,30.85
14772,90SM-SM-18 NEGRO CHASIS CUB18,"2,756.92"
14845,19AEX20120 EXTENCION FIJA 1.2 MTS. EXITO PIEZA,44.82
14846,19AEX20200 EXTENCION AJUSTABLE 2 MTS. EXITO PIEZA,170.82
14847,19AEX20300 EXTENCION AJUSTABLE 3 MTS. EXITO PIEZA,256.63
14937,3333-1 PERMACRON MS HARDENER 3333 (SLOW) SPIES LITRO,786.67
14938,3344-1 CATALIZADOR PARA PRIM RELLENO MS 3344 (FAST) LITRO,786.67
14942,3355-1 PERMACRON MS HARDENER 3355(EXTRA FAST) SPIES LITRO,786.67
14943,3355-SM-125 PERMACRON MS HARDENER 3355(EXTRA FAST) SPIES .125,134.89
14944,3355-SM-250 PERMACRON MS HARDENER 3355(EXTRA FAST) SPIES .250,242.8
14945,3355-SM-500 PERMACRON MS HARDENER 3355(EXTRA FAST) SPIES .500,437.04
14952,HT-16001 COLADORES CROMACRYL PIEZA,0.98
14953,COLADORES DE PAPEL PIEZA,1.29
14955,HT-207 PALA DE ALUMINIO DE GALON PIEZA,45.08
14956,HT-209 PALA DE ALUMINIO DE LITRO PIEZA,30.61
15013,YZ-SM-19BC NOVOPERMO SECADO RAPID ORGAN ROJOS Y MARRON CUB19,"4,481.62"
15014,YZ-SM-1A NOVOPERMO SECADO RAPIDO REGULAR LITRO,259.24
15015,YZ-SM-1BC NOVOPERMO SECADO RAPID ORGAN ROJOS Y MARRON LITRO,291.2
15016,YZ-SM-4A NOVOPERMO SECADO RAPIDO REGULAR 4LTO,933.26
15017,YZ-SM-4BC NOVOPERMO SECADO RAPID ORGAN ROJOS Y MARRON 4LTO,"1,048.33"
15092,YR-SM-19MI VINIL ACRIL RENZEL 10AÑOS COL MEDIOS INTENOS CUB19,"3,292.49"
15093,YR-SM-19PC VINIL ACRIL RENZEL 10AÑOS COL PASTELES Y CLAR CUB19,"3,292.49"
15094,YR-SM-1MI VINIL ACRIL RENZEL 10AÑOS COL MEDIOS INTENOS LITRO,207.3
15095,YR-SM-1PC VINIL ACRIL RENZEL 10AÑOS COL PASTELES Y CLAR LITRO,207.3
15096,YR-SM-4MI VINIL ACRIL RENZEL 10AÑOS COL MEDIOS INTENOS 4LTO,746.27
15097,YR-SM-4PC VINIL ACRIL RENZEL 10AÑOS COL PASTELES Y CLAR 4LTO,746.27
15098,YP-SM-19MI VINIL ACRIL DURAVIN 7AÑOS COL MEDIOS INTENSOS CUB19,"2,366.11"
15099,YP-SM-19PC VINIL ACRIL DURAVIN 7AÑOS COL PASTELES Y CLAR CUB19,"2,366.11"
15100,YP-SM-1MI VINIL ACRIL DURAVIN 7AÑOS COL MEDIOS LITRO,148.32
15101,YP-SM-1PC VINIL ACRIL DURAVIN 7AÑOS COL PASTELES Y CLAR LITRO,148.32
15102,YP-SM-4MI VINIL ACRIL DURAVIN 7AÑOS COL MEDIOS INTENSOS 4LTO,533.95
15103,YP-SM-4PC VINIL ACRIL DURAVIN 7AÑOS COL PASTELES Y CLAR 4LTO,533.95
15189,14375S-4 REDUCTOR CHROMAPREMIER® PRO RÁPIDO 3.785,"1,881.67"
15326,YM-SM-19MI VINIL ACRIL SUPERNOV 10AÑOS COL MEDIOS INTENS CUB19,"3,203.68"
15327,YM-SM-19PC VINIL ACRIL SUPERN 10AÑOS COL PASTELES Y CLAR CUB19,"3,203.68"
15328,YM-SM-1MI VINIL ACRIL SUPERNOV 10AÑOS COL MEDIOS INTENS LITRO,200.41
15329,YM-SM-1PC VINIL ACRIL SUPERN 10AÑOS COL PASTELES Y CLAR LITRO,200.41
15330,YM-SM-4MI VINIL ACRIL SUPERNOV 10AÑOS COL MEDIOS INTENS 4LTO,721.48
15331,YM-SM-4PC VINIL ACRIL SUPERN 10AÑOS COL PASTELES Y CLAR 4LTO,721.48
15389,U-SM-19M PINT VINIL ACRIL SPEDD HIDE ULTRA MEDIOS CUB19,"1,423.00"
15393,U-SM-4I PINT VINIL ACRIL SPEED HIDE ULTRA INTENSOS 4LTO,326
15458,5610JM-1 VERDE ORGANICO IMLAR BC LITRO,241
15464,T99060-4 SOLVENTE UNIVERSAL IMLAR BC 4LTO,795.38
15465,T99060-SM-1 SOLVENTE UNIVERSAL IMLAR BC LITRO,220.94
15482,101001 THK DOBLE ACCION BLANCO 5 AÑOS 19LT,"1,905.30"
15483,101004 THK DOBLE ACCION ROJO TERR. 5 AÑOS 19LT,"1,905.30"
15484,201063 THK THERMOTEK SELLO 19 LTS,"1,061.10"
15485,201064 THK THERMOTEK SELLO  4 LTS,378
15486,201985 THK SELLA ACRYLIK BLANCO 300 ML PIEZA,840.27
15488,QM108-19 IMPERNOVI TERRACOTA 5 ANOS CUB19,"1,766.18"
15489,QM108-SM-1 IMPERNOVI TERRACOTA 5 ANOS LITRO,114.76
15490,QM108-SM-4 IMPERNOVI TERRACOTA 5 ANOS 4LTO,413.14
15491,QM109-19 IMPERNOVI  BLANCO 5 ANOS CUB19,"1,766.18"
15492,QM109-SM-1 IMPERNOVI BLANCO 5 ANOS LITRO,114.76
15493,QM109-SM-4 IMPERNOVI BLANCO 5 ANOS 4LTO,413.14
15494,QM110-19 IMPERNOVI  TERRACOTA  3  ANOS CUB19,"1,480.88"
15495,QM110-SM-1 IMPERNOVI TERRACOTA 3 ANOS LITRO,96.22
15496,QM110-SM-4 IMPERNOVI TERRACOTA 3 ANOS 4LTO,346.41
15497,QM111-19 IMPERNOVI  BLANCO  3  ANOS CUB19,"1,480.88"
15498,QM111-SM-1 IMPERNOVI BLANCO 3 ANOS LITRO,96.22
15499,QM111-SM-4 IMPERNOVI BLANCO 3 ANOS 4LTO,346.41
15500,QM112-19 IMPERVIN TERRACOTA 18 MESES CUB19,952.94
15501,QM113-19 IMPERNOVI BLANCO 18 MESES CUB19,952.94
15502,QM113-SM-1 IMPERNOVI BLANCO 18 MESES LITRO,61.92
15503,QM113-SM-250 IMPERNOVI BLANCO 18 MESES .250,19.11
15504,QM113-SM-4 IMPERNOVI BLANCO 18 MESES 4LTO,222.91
15505,QM113-SM-500 IMPERNOVI BLANCO 18 MESES .500,34.4
15600,525-1 FILTRO DEPLASTICO P/PISTOLA DE GRAV-MOD525 PIEZA,31.83
15624,03500105-4 BLANCO MAX LACA ACRILICA 4LTO,705
15627,03500405-4 AMARILLO CANARIO MAX LACA ACRILICA 4LTO,788
15654,LF100-1 LIJA DE AGUA # 100 FANDELI (OOO52) C-99 PIEZA,11.48
15655,LF120-1 LIJA DE AGUA # 120 FANDELI (OOO53) C-99 PIEZA,10.73
15656,LF150-1 LIJA DE AGUA # 150 FANDELI (OOO54) C-99 PIEZA,9
15657,LF180-1 LIJA DE AGUA # 180 FANDELI (OOO55) C-99 PIEZA,9.32
15658,LF220-1 LIJA DE AGUA # 220 FANDELI (OOO37) A-99 PIEZA,9.47
15659,LF240-1 LIJA DE AGUA # 240 FANDELI (OOO38) C-99 PIEZA,9.32
15660,LF280-1 LIJA DE AGUA # 280 FANDELI (OOO39) C-99 PIEZA,8.78
15661,LF320-1 LIJA DE AGUA # 320 FANDELI (OOO40) C-99 PIEZA,9.32
15662,LF360-1 LIJA DE AGUA # 360 FANDELI (OOO41) C-99 PIEZA,9.32
15663,LF400-1 LIJA DE AGUA # 400 FANDELI (OOO41) C-99 PIEZA,9.47
15664,LF500-1 LIJA DE AGUA # 500 FANDELI (OOO43) C-99 PIEZA,8.78
15665,LF600-1 LIJA DE AGUA G 600 FANDELI OOO44 C99 PIEZA,9.47
15666,LF80-1 LIJA DE AGUA # 80 FANDELI (OOO51) C-99 PIEZA,13.18
15667,2020-50 LIJA IMPERIAL WETORDRY 9 X 11 G-2000 P50,"2,165.00"
15668,2021-50 LIJA DE AGUA MICROFINA 3M # 1000 (PAQUETE) P50,"1,222.00"
15669,2022-50 LIJA DE AGUA MICROFINA 3M # 1200 (PAQUETE) P50,"1,222.00"
15670,2023-50 LIJA DE AGUA MICROFINA 3M # 1500 (PAQUETE) P50,"1,222.00"
15671,2032-50 LIJA IMPERIAL WETORDRY 9 X 11 G-1500 1/2 HOJA P50,"2,165.00"
15672,2033-50 LIJA IMPERIAL WETORDRY 9 X 11 G-1200 P50,"2,165.00"
15673,2034-50 LIJA IMPERIAL WETORDRY 9 X 11 G-1000 P50,"2,165.00"
15674,2036-50 IMPERIAL WETORDRY 9 X 11  G-P 600 P50,924
15675,"2038-1 IMPERIAL WETORDRY 9 X 11"" P400 PIEZA",18.48
15676,"2040-1 IMPERIAL WETORDRY 9 X 11"" P320 PIEZA",18.48
15677,2044-50 LIJA DE AGUA MICROFINA 3M # 2000 (PAQUETE) P50,924
15687,"20208-1 LIJADORA ORBITAL DE 6"". CON KIT DE SUC(5/16"". PIEZA","8,127.06"
15688,"20327-1 LIJADORA ORBITAL 3/16"". SELFGEN 152.4MM. PIEZA","8,127.06"
15690,28506-1 LIJADORA ELITE CENTRAL-READY ORBITAL PINTOR PIEZA,"7,743.87"
15694,"CP785-1 TALADRO DE 3/8"". 2400 RPM .05HP PIEZA","3,209.47"
15696,LFM1000-1 LIJA AGUA 1000 MICROFINA FANDELI B-99 (05525) PIEZA,16.37
15697,LFM1200-1 LIJA AGUA 1200 MICROFINA FANDELI B-99 (00048) PIEZA,16.37
15698,LFM1500-1 LIJA AGUA 1500 MICROFINA FANDELI B-99 (00049) PIEZA,16.37
15699,LFM2000-1 LIJA AGUA 2000 MICROFINA FANDELI B-99 (10965) PIEZA,16.37
15717,LFOJ73120F-1 LIJA FANDELI J-73 # 120 FINA OX. DE ALUMINIO PIEZA,20.06
15719,LFOJ7350G-1 LIJA FANDELI J-73 # 50 GRUESA OX. DE ALUMINIO PIEZA,17.75
15720,LFOJ7380M-1 LIJA FANDELI J-73 # 80 MEDIANA OX. DE ALUMINI PIEZA,16.74
15721,LFOX8636-1 LIJA HOJA X-86 #36 OX. DE ALUMINIO (00089) PIEZA,27.72
15732,77027 W5LT SX SILICON REMOVER NEW 5LTS,"1,380.00"
15735,86875-1 ANTISILICON LITRO,"1,331.67"
15811,VGY511-1 ACTIVADOR IMRON 326 (10P) LITRO,"1,044.75"
15812,VGY511-SM-1 ACTIVADOR PARA IMRON LITRO,"1,044.75"
15813,VGY511-SM-125 CATALIZADOR PARA 10P .125,179.14
15814,VGY511-SM-250 CATALIZADOR PARA 10P .250,322.45
15816,99P400-4 INORGA.DE ZINC GANICIN VEHICULO  RP-4B 4LTO,"1,111.95"
15817,99P401-4 INORGA.DE ZINC GANICIN POLVO  RP-4B 5.47,"2,673.30"
15818,99P601-18 PRIM.CROMATO ZINC ROJO RP2 CUB18,"6,246.45"
15820,99P601-SM-1 PRIMARIO ROJO CROMATO ZINC LITRO,385.58
15882,25P313-18 LINEA 525 DUPONT 25P BLANCO TITANIO CUB18,"14,328.30"
15883,25P313-4 EPOXIMASTIC BLANCO TITANIO ALTOS SOLIDOS 4LTO,"3,313.80"
15884,25P313-SM-1 EPOXIMASTIC BLANCO TITANIO ALTOS SO LITRO,920.5
15885,25P313-SM-250 EPOXIMASTIC BLANCO TITANIO ALTOS SO .250,284.1
15886,25P313-SM-4 EPOXIMASTIC BLANCO TITANIO ALTOS SO 4LTO,"3,313.80"
15887,25P313-SM-500 EPOXIMASTIC BLANCO TITANIO ALTOS SO .500,511.39
15889,VF525-18 ACTIVADOR P/EPOXIMASTIC 25P CUB18,"10,954.65"
15890,VF525-4 ACTIVADOR P/EPOXIMASTIC 25P 4LTO,"2,523.15"
15891,VF525-SM-1 ACTIVADOR PARA 25P ALTOS SOLIDOS LITRO,700.88
15892,VF525-SM-18 ACTIVADOR P/EPOXIMASTIC 25P CUB18,"10,954.65"
15893,VF525-SM-250 ACTIVADOR PARA DUPONT 25P .250,216.32
15894,VF525-SM-4 ACTIVADOR PARA 25P ALTOS SOLIDOS 4LTO,"2,523.15"
15895,VF525-SM-500 ACTIVADOR PARA 25P ALTOS SOLIDOS .500,389.38
15924,99P300-18 CATAL. EPOXICO PARA RA26 CORLAR ALTOS ESPESO CUB18,"6,195.00"
15925,99P300-4 CATAL. EPOXICO PARA RA26 CORLAR ALTOS ESPESOR 4LTO,"1,456.35"
15926,99P300-SM-1 CATAL.EPOXICO CORLAR ALTOS ESPESORES LITRO,404.54
15927,99P300-SM-250 CATAL. EPOXICO CORLAR ALTOS ESPESORES .250,124.86
15928,99P300-SM-500 CATAL.EPOXICO CORLAR ALTOS ESPESORES .500,224.75
15929,99P305-18 CATALIZADOR EPOXICO CORLAR ESP. NORMALES CUB18,"6,195.00"
15930,99P305-4 CATALIZADOR EPOXICO CORLAR ESP. NORMALES 4LTO,"1,473.15"
15931,99P305-SM-1 CATALIZADOR EPOXICO ESP. NORMALES LITRO,409.21
15932,99P305-SM-250 CATALIZADOR EPOXICO ESP. NORMALES .250,126.3
15933,99P305-SM-500 CATALIZADOR EPOXICO ESP. NORMALES .500,227.34
15935,QM101-1 CERA DE CARNAUBA (LINEA CARE)  PIEZA,305.71
15943,QM151-1 PULIMENTO CORTE PRODUCTIVO .946,336
15969,99P303-4 CATALIZADOR PARA ALQUITRAN DE HULLA . 4LTO,"1,626.45"
15970,99P704-16 PRIMARIO ALQUITRAN DE HULLA NEGRO RP-5B CUB16,"6,478.50"
15971,PZ200-18 ALUMINIO ALTA TEMP.HASTA 260C RE30A CUB18,"5,971.35"
15972,PZ200-4 ALUMINIO ALTA TEMP.HASTA 260C RE30A 4LTO,"1,377.60"
15973,PZ200-SM-1 ALUMINIO ALTA TEMPERATURA HASTA 260C RE-30A LITRO,382.67
15974,PZ200-SM-250 ALUMINIO ALTA TEMPERATURA HASTA 260C RE-30A .250,118.11
15975,PZ200-SM-500 ALUMINIO ALTA TEMPERATURA HASTA 260C RE-30A .500,212.59
15976,PZ201-18 ALUMINIO ALTA TEMP.HASTA 540C RE30B CUB18,"22,271.55"
15977,PZ201-4 *K ALUMINIO ALTA TEMP.HASTA 540C RE30B 4LTO,"5,156.55"
15978,PZ201-SM-1 ALUMINIO ALTAS TENMP.(540C) LITRO,"1,432.38"
15979,PZ201-SM-250 ALUMINIO ALTAS TENMP.(540C) .250,442.09
15980,PZ201-SM-500 *K ALUMINIO ALTAS TENMP.(540C) .500,795.76
15981,832SM-19 REDUCTOR CORLAR CUB19,"3,279.15"
15987,99P101-4 REDUCTOR IMRON 4LTO,"1,417.50"
15988,99P101-SM-1 REDUCTOR IMRON LITRO,393.75
15989,99P101-SM-250 REDUCTOR IMRON .250,121.53
15990,99P101-SM-500 REDUCTOR IMRON .500,218.75
15991,99P102-4 REDUCTOR PARA ALQUITRAN DE HULLA CORLAR 4LTO,553.35
15992,99P103-19 REDUCTOR PARA DUPONT 25P COND. NORMALES CUB19,"5,983.95"
15993,99P103-4 REDUCTOR PARA DUPONT 25P COND. NORMALES 4LTO,"1,282.05"
15994,99P103-SM-1 REDUCTOR PARA DUPONT 25P COND. NORMALES LITRO,356.13
15995,99P104-19 REDUCTOR PARA DUPONT 25P COND. EXTREMAS CUB19,"3,176.25"
15996,99P104-4 REDUCTOR PARA DUPONT 25P COND. EXTREMAS 4LTO,684.6
15997,99P104-SM-1 REDUCTOR PARA 25P TEMPERATURA  ALTA LITRO,190.17
15998,99P104-SM-250 REDUCTOR PARA 25P TEMPERATURA  ALTA .250,58.69
15999,99P104-SM-500 REDUCTOR PARA 25P TEMPERATURA  ALTA .500,105.65
16009,Y32035-19 REDUCTOR PARA IMRON 10P COND. NORMALES CUB19,"4,918.20"
16010,Y32035-4 REDUCTOR PARA IMRON 10P COND. NORMALES 4LTO,"1,062.60"
16012,Y32035-SM-1 REDUCTOR P/ IMRON 10P COND. NORMALES LITRO,295.17
16013,Y32035-SM-250 REDUCTOR P/ IMRON 10P COND. NORMALES .250,91.1
16014,Y32035-SM-500 REDUCTOR P/ IMRON 10P COND. NORMALES .500,163.98
16031,60P105-18 RA-26 ESMALTE EPÓXICO BLANCO PROCOR A.S. CUB18,"5,205.56"
16038,612-6212-4 RE30A MODIFICADO ALUMIN ALTA TEMPERATU A.S. 4LTO,"3,874.50"
16039,70P102-4 REDUCTOR P/ INORGANICO DE ZINC PROCOR A.S. 4LTO,"1,102.50"
16040,70P103-3 RP4B PRIMARIO INORGANICO RICO ZINC PROCOR A.S 3LTS,"1,407.00"
16041,70P104-7 RP4B PRIMA INORGAN RICO ZINC POLVO PROCOR A.S 7KG,"2,768.85"
16074,917CT-4 CTU TINTE BLANCO PROCOR 4LTO,"3,700.20"
16075,918CT-4 CTU TINTE NEGRO CTU PROCOR 4LTO,"1,898.40"
16076,918P-4 CTU TINTE NARANJA ORGANICO PROCOR 4LTO,"4,815.30"
16077,919CT-4 CTU TINTE ROJO OXIDO PROCOR 4LTO,"2,837.10"
16078,920CT-4 CTU TINTE AZUL VERDOSO PROCOR 4LTO,"2,431.00"
16080,921P-4 CTU TINTE AMARILLO ROJIZO 4LTO,"4,369.05"
16081,922CT-4 CTU TINTE AMARILLO OXIDO PROCOR 4LTO,"2,407.65"
16084,925CT-4 CTU TINTE VERDE PROCOR 4LTO,"3,289.65"
16085,927CT-4 CTU TINTE MARRON VIOLETA OBSCURO PROCOR 4LTO,"8,460.00"
16086,929CT-4 CTU TINTE ROJO BRILLANTE ORGANICO 4LTO,"3,567.90"
16088,934CT-4 CTU TINTE AZUL ROJO PROCOR 4LTO,"4,877.25"
16091,30P001-16 *K PROCOR EPX50 PRIMARIO GRIS CUB16,"5,551.35"
16092,30P001-SM-1 *K PRIMARIO RP6 EPOXICO GRIS SOLIDOS MEDIOS LITRO,407.75
16093,30P100-16 PRIMARIO EPOXICO PROCOR ROJO OXIDO RP6 CUB16,"5,110.35"
16094,30P100-SM-1 PRIMARIO EPOXICO RP-6 PROCOR ROJO OXIDO LITRO,394.32
16095,30P100-SM-4 PRIMARIO EPOXICO RP-6 ROJO OXIDO PROCOR 4LTO,"1,419.54"
16102,30P129-SM-250 *K REDUCTOR P/RP6 RA26 EPOXICO PROCOR SM Y SA .250,61.48
16103,60P100-16 *K PROCOR EPX50 EPOXICO BLANCO RA-26 CUB16LT,"5,101.95"
16104,60P100-SM-1 PROCOR EPX50 EPOXICO BLANCO RA-26 LITRO,393.67
16106,60P101-19 BINDER EPOXICO P/RA-26 S.M. CUB19,"5,160.75"
16108,60P128-16 *K PROCOR EPX50 CATALIZADOR PARA EPOXICO RA26 CUB16,"4,385.85"
16113,80P100-16 ESMALTE POLIURETAN MODIFICAD BLANC PROCOR S.M CUB16,"6,079.50"
16114,80P100-SM-1 ESMALTE POLIURETAN MODIFICAD BLANC LITRO,469.1
16115,80P100-SM-4 ESMALTE POLIURETAN MODIFICAD BLANC PROCOR 4LTO,"1,688.75"
16116,80P101-19 BINDER POLIURETANO RA-28 PROCOR S.M. CUB19,"5,433.75"
16118,80P128-1 CATALIZADOR P/POLIURETANO RA-28 PROCOR S.M. LITRO,582.75
16119,80P128-SM-1 CATALIZADOR P/POLIURETANO RA-28 PROCOR SM LITRO,582.75
16120,80P128-SM-250 CATALIZADOR P/POLIURETANO RA-28 PROCOR SM .250,179.86
16121,80P128-SM-500 CATALIZADOR P/POLIURETANO RA-28 PROCOR SM .500,323.75
16126,915CT-1 CTU TINTE VIOLETA CLARO LITRO,"2,239.65"
16127,919P-4 CTU TINTE AMARILLO VERDOSO 4LTO,"3,995.25"
16128,935CT-1 CTU TINTE MARRON CLARO LITRO,"1,879.50"
16130,FG-16386-1 RA-35 CATALIZADOR PARA POLISILOXANO LITRO,"3,775.80"
16188,99P200-18 TRANSP.EPOXICO(7) CUB18,"7,453.95"
16189,99P200-SM-1 TRANSPARENTE EPOXICO LITRO,511.24
16190,99P200-SM-250 TRANSPARENTE EPOXICO .250,157.79
16191,99P200-SM-4 TRANSPARENTE EPOXICO 4LTO,"1,840.48"
16192,99P200-SM-500 TRANSPARENTE EPOXICO .500,284.02
16193,99P201-16 TRANSP POLIURETANO (8) 16LTS,"4,739.70"
16194,99P201-SM-1 TRANSP.POLIURETANO (8) LITRO,365.72
16195,99P201-SM-250 TRANSP.POLIURETANO (8) .250,112.88
16196,99P201-SM-4 TRANSP.POLIURETANO (8) 4LTO,"1,316.58"
16197,99P201-SM-500 TRANSP.POLIURETANO (8) .500,203.18
16199,99P302-1 ENDURECEDOR P/TRANSPARENTE POLIURETANO LITRO,644.7
16203,"FMA62 MINI FELPA 2 PACK 6"" ACRILICO PIEZA",46.4
16204,FME0002-1 FELPA 4 PULG. MINI RODILLO ESPUMA 2 PACK PIEZA,39.56
16205,FMP0002-1 FELPA 4 PULG MINI RODILLO POLIESTER 2 PACK PIEZA,28.74
16209,"KMN0000-1 KIT MINI RODILLO POLIESTER(CHAROLA, 2PACK YMA PIEZA",77.74
16210,MEL0009-1 MANERAL 9 PULG. ELITE CON JAULA PIEZA,68.78
16211,MEX0035-1 MANERAL 9 PULG. CON EXTENCION TRES SECCIONES PIEZA,173.73
16212,"MMI16 MANERAL PARA MINI RODILLO 6"" X 12"" PIEZA",34.95
16213,"MMI4-1 MANERAL 4"" PARA MINI-RODILLO PIEZA",26.36
16214,"MSE9T-1 MANERAL 9"" SENCILLO PIEZA",27.89
16215,"MSP9T MANERAL 9"" SEMIPROFESIONAL CON JAULA PIEZA",43.27
16216,PAL0000-1 ALMOHADILLA TOUCH UP CON REPUESTO PIEZA,42.16
16218,PAR0000-1 ALMOHADILLA RODANTE PIEZA,67.83
16220,PES0000-1 ESQUINERO PAD PAINT PIEZA,59.29
16221,PPA0009-1 PAD PAINT 9 PULG. PIEZA,120.27
16222,PRA0000-1 RODILLO ESQUINERO PIEZA,38.68
16241,A6520BK MASILLA IVIPLAST 1.5KG 66 PIEZA,"1,494.54"
16242,A6560BK MASILLA POL. GALVAPLAST 77 1.5KG PZ DESCONTINUADO,"1,227.02"
16248,DUL1800-1 MASILLA POLIESTER 1.5KG PIEZA,325.24
16254,A242TB MASILLA ACRILICA FINA BEIGE PZ DESCONTINUADO,434.78
16258,F5SERV-DPC-VARI DR FANDECK PIEZA,"2,557.41"
16259,DESTAP-1 DESTAPADOR NYLON PARA CUBETAS PIEZA,54.09
16295,HT-16006 PALA DE ALUMINIO PARA CUBETA PIEZA,33.3
16319,MP-412 DESTAPADOR  DE DUPONT PIEZA,7.2
16463,MICESF-SM-1 MICROESFERA POR KILOS KILO,40.8
16464,MICESF-25 MICROESFERA SACO DE 25 KILOS 25KG,918.12
16533,YZ-SM-19A ESMALTE SECADO RAPIDO NOVOPERMO REGULARES CUB19,"3,989.71"
16534,YZ001-19 *K NOVOPERM SECADO RAPIDO BLANCO CUB19,"3,989.71"
16535,YZ001-4 NOVOPERMO SECADO RAPIDO BLANCO 4LTO,847.06
16536,YZ002-19 NOVOPER SR AMARILLO ROJIZO ORGÁNICO CUB19,"4,645.59"
16537,YZ002-4 *K NOVOPER SR AMARILLO ROJIZO ORGÁNICO 4LTO,"1,001.47"
16538,YZ003-4 NOVOPER SECADO RAPIDO AMARILLO CANARIO ORGÁN 4LTO,"1,001.47"
16539,YZ004-19 NOVOPERM SECADO RAPIDO ROJO BERMELLON CUB19,"4,317.65"
16540,YZ004-4 NOVOPERM SECADO RAPIDO ROJO BERMELLON 4LTO,930.88
16541,YZ004-SM-1 NOVOPERMO SECADO RAPIDO ROJO BERMELLON LITRO,258.58
16542,YZ005-4 NOVOPERM SECADO RAPIDO NARANJA 4LTO,939.71
16543,YZ006-19 NOVOPERM SECADO RAPIDO AZUL LIMPIO CUB19,"4,317.65"
16544,YZ006-4 NOVOPERM SECADO RAPIDO AZUL LIMPIO 4LTO,930.88
16545,YZ007-19 NOVOPERMO SECADO RAPIDO VERDE ORGANICO CUB19LT,"4,317.65"
16546,YZ007-4 NOVOPERM SECADO RAPIDO VERDE ORGÁNICO 4LTO,930.88
16547,YZ008-19 NOVOPERM SECADO RAPIDO ROJO CLARO CUB19,"4,317.65"
16548,YZ008-4 NOVOPERM SECADO RAPIDO ROJO CLARO 4LTO,930.88
16549,YZ009-19 NOVOPERM SECADO RAPIDO ALUMINIO MEDIO CUB19,"4,317.65"
16550,YZ100-19 NOVOPERM SECADO RAPIDO NEGRO CUB19,"3,989.71"
16551,YZ100-4 NOVOPERMO SECADO RAPIDO NEGRO 4LTO,847.06
